	1st Creature Stack			2nd Creature Stack			3rd Creature Stack		
Name	Low	High	Type (reference only)	Low	High	Type (reference only)	Low	High	Type (reference only)
Orrin	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Valeska	4	7	LightCrossbowman	4	7	LightCrossbowman	4	7	LightCrossbowman
Edric	6	7	Pikeman	6	7	Griffin	6	7	Griffin
Sylvia	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Lord Haart	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Catherine	10	20	Pikeman	4	7	LightCrossbowman	3	4	Griffin
Christian	10	20	Pikeman	1	1	Ballista	4	5	Griffin
Tyris	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Rion	10	20	Pikeman	1	1	FirstAidTent	4	5	Griffin
Adela	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Cuthbert	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Adelaide	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Ingham	10	20	Pikeman	2	2	LightCrossbowman	2	2	Griffin
Sanya	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Loynis	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Caitlin	10	20	Pikeman	4	7	LightCrossbowman	4	5	Griffin
Mephala	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Ufretin	11	11	Dwarf	11	11	Dwarf	11	11	Dwarf
Jenova	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Ryland	12	22	Centaur	2	2	Dwarf	2	2	WoodElf
Thorgrim	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Ivor	12	22	Centaur	2	4	WoodElf	2	4	WoodElf
Clancy	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Kyrre	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Coronius	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Uland	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Elleshar	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Gem	12	22	Centaur	1	1	FirstAidTent	2	4	WoodElf
Malcom	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Melodia	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Alagar	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Aeris	12	22	Centaur	5	7	Dwarf	2	4	WoodElf
Piquedram	5	9	StoneGargoyle	5	9	StoneGargoyle	5	9	StoneGargoyle
Winstan	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Josephine	30	40	ApprenticeGremlin	4	5	IronGolem	4	5	IronGolem
Neela	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Torosar 	30	40	ApprenticeGremlin	1	1	Ballista	4	5	IronGolem
Fafner	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Rissa	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Iona	30	40	ApprenticeGremlin	5	9	StoneGargoyle	2	2	IronGolem
Astral	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Halon	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Serena	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Daremyth	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Theodorus	30	40	ApprenticeGremlin	5	9	StoneGargoyle	5	6	IronGolem
Solmyr	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Cyra	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Aine	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Fiona	20	30	Imp	4	5	HellHound	4	5	HellHound
Rashka	20	30	Imp	5	7	Gog	4	5	HellHound
Marius	20	30	Imp	5	7	Gog	4	5	HellHound
Ignatius	20	30	Imp	20	30	Imp	20	30	Imp
Octavia	20	30	Imp	5	7	Gog	4	5	HellHound
Calh	5	7	Gog	5	7	Gog	5	7	Gog
Pyre	20	30	Imp	1	1	Ballista	4	5	HellHound
Nymus	20	30	Imp	5	7	Gog	4	5	HellHound
Ayden	20	30	Imp	5	7	Gog	4	5	HellHound
Xyron	20	30	Imp	5	7	Gog	4	5	HellHound
Axsis	20	30	Imp	5	7	Gog	4	5	HellHound
Olema	20	30	Imp	5	7	Gog	4	5	HellHound
Calid	20	30	Imp	5	7	Gog	4	5	HellHound
Ash	20	30	Imp	5	7	Gog	4	5	HellHound
Zydar	20	30	Imp	5	7	Gog	4	5	HellHound
Xarfax	20	30	Imp	5	7	Gog	4	5	HellHound
Straker	12	12	Zombie	12	12	Zombie	12	12	Zombie
Vokial	20	30	Skeleton	6	8	Zombie	4	6	Wight
Moandor	20	30	Skeleton	6	8	Zombie	4	6	Wight
Charna	9	9	Skeleton	9	9	Wight	9	9	Wight
Tamika	20	30	Skeleton	6	8	Zombie	4	6	Wight
Isra	20	30	Skeleton	6	8	Zombie	4	6	Wight
Clavius	20	30	Skeleton	6	8	Zombie	4	6	Wight
Galthran	20	30	Skeleton	20	30	Skeleton	20	30	Skeleton
Septienna	20	30	Skeleton	6	8	Zombie	4	6	Wight
Aislinn	20	30	Skeleton	6	8	Zombie	4	6	Wight
Sandro	20	30	Skeleton	6	8	Zombie	4	6	Wight
Nimbus	20	30	Skeleton	6	8	Zombie	4	6	Wight
Thant	20	30	Skeleton	6	8	Zombie	4	6	Wight
Xsi	20	30	Skeleton	6	8	Zombie	4	6	Wight
Vidomina	20	30	Skeleton	6	8	Zombie	4	6	Wight
Zenith	8	8	Skeleton	8	8	Zombie	8	8	Wight
Lorelei	5	5	Harpy	5	5	Harpy	5	5	Harpy
Arlach	20	30	Troglodyte	1	1	Ballista	3	4	Beholder
Dace	20	30	Troglodyte	6	8	Harpy	2	2	Beholder
Ajit	20	30	Troglodyte	5	6	Beholder	5	6	Beholder
Damacon	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Gunnar	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Synca	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Shakti	20	30	Troglodyte	20	30	Troglodyte	20	30	Troglodyte
Alamar	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Jaegar	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Malekith	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Jeddite	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Geon	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Deemer	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Sephinroth	20	30	Troglodyte	4	6	Harpy	4	6	Beholder
Darkstorn	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Yog	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Gurnisson	20	30	Goblin	1	1	Ballista	5	6	Orc
Jabarkas	6	8	Goblin	6	8	Orc	6	8	Orc
Shiva	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Gretchin	20	30	Goblin	20	30	Goblin	20	30	Goblin
Krellion	20	30	Goblin	5	7	GoblinWolfRider	5	7	Orc
Crag Hack	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Tyraxor	5	7	GoblinWolfRider	5	7	GoblinWolfRider	5	7	GoblinWolfRider
Gird	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Vey	20	30	Goblin	5	7	GoblinWolfRider	5	7	Orc
Dessa	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Terek	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Zubin	20	30	Goblin	1	1	GoblinWolfRider	5	6	Orc
Gundula	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Oris	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Saurug	20	30	Goblin	5	7	GoblinWolfRider	5	6	Orc
Bron	15	25	Gnoll	5	7	Basilisk	3	4	SerpentFly
Drakon	15	25	Gnoll	15	25	Gnoll	15	25	Gnoll
Wystan	6	9	PrimitiveLizardman	6	9	PrimitiveLizardman	6	9	PrimitiveLizardman
Tazar	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Alkin	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Korbac	15	25	Gnoll	3	4	SerpentFly	3	4	DragonFly
Gerwulf	15	25	Gnoll	1	1	Ballista	3	4	SerpentFly
Broghild	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Mirlanda	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Rosic	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Voy	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Verdish	15	25	Gnoll	1	1	FirstAidTent	3	4	SerpentFly
Merist	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Styg	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Andra	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Tiva	15	25	Gnoll	4	7	PrimitiveLizardman	3	4	SerpentFly
Pasis	15	25	Pixies	3	4	Air Elementals	3	4	Air Elementals
Thunar	3	3	Pixies	3	3	Air Elementals	3	3	Water Elementals
Ignissa	15	25	Pixies	4	5	Air Elementals	4	5	Water Elementals
Lacus	15	25	Pixies	4	5	Water Elementals	4	5	Water Elementals
Monere	15	25	Pixies	3	4	Air Elementals	3	4	Air Elementals
Erdamon	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Fiur	15	25	Pixies	3	4	Ballista	4	5	Water Elementals
Kalt	15	25	Pixies	1	1	Water Elementals	3	4	Water Elementals
Luna	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Brissa	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Ciele	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Labetha	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Inteus	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Aenain	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Gelare	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Grindan	15	25	Pixies	3	4	Air Elementals	3	4	Water Elementals
Sir Mullich	10	20	Pikeman	4	7	Archer	4	5	Griffin
Adrienne	15	25	Gnoll	4	7	Lizardman	3	4	Serpent Fly
Gwenneth	10	20	Pikeman	4	7	Archer	4	5	Griffin
Dracon	1	1	Enchanters	1	1	Enchanters	1	1	Enchanters
Gelu	1	1	Sharpshooters	1	1	Sharpshooters	1	1	Sharpshooters
Kilgor	20	30	Goblins	5	7	Goblin Wolf Rider	5	6	Orc
Athe	20	30	Imp	5	7	Gog	4	5	HellHound
Archibald	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Roland	10	20	Pikeman	4	7	Archer	3	4	Griffin
Mutare Drake	20	30	Troglodyte	6	8	Harpy	3	4	Beholder
Thane	30	40	ApprenticeGremlin	5	9	StoneGargoyle	4	5	IronGolem
Xeron	20	30	Imp	5	7	Gog	4	5	HellHound
									
									
