			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)
																																	
Adventure spells																																	
																																	
Przyzwanie okrêtu	Przyzwanie okrêtu	3	 	x	 	 	8	7	7	7	0	50	50	75	100	5	5	5	5	10	5	5	5	5	10	10	20	20	"{Przyzwanie okrêtu}

Przywo³uje do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza.

Czar ma 50% szans na powodzenie.
"	"{Przyzwanie okrêtu}
{Poziom podstawowy}

Przywo³uje do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza.

Czar ma 50% szans na powodzenie.
"	"{Przyzwanie okrêtu}
{Poziom zaawansowany}

Przywo³uje do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza. Je¿eli okrêt nie istnieje - zostaje stworzony.

Czar ma 75% szans na powodzenie.
"	"{Przyzwanie okrêtu}
{Poziom eksperta}

Przywo³uje do okolicy istniej¹cy okrêt, nale¿¹cy do aktualnego gracza. Je¿eli okrêt nie istnieje - zostaje stworzony.
"	 ADV_SPELL
Zniszczenie okrêtu	Zniszczenie okrêtu	1	 	x	 	 	8	6	6	6	0	50	50	75	100	5	5	5	5	5	5	5	5	5	1	1	1	1	"{Zniszczenie okrêtu}

Nieodwracalnie niiszczy okrêt. 

Czar ma 50% szans na powodzenie.
"	"{Zniszczenie okrêtu}
{Poziom podstawowy}

Nieodwracalnie niiszczy okrêt. 

Czar ma 50% szans na powodzenie.
"	"{Zniszczenie okrêtu}
{Poziom zaawansowany}

Nieodwracalnie niiszczy okrêt. 

Czar ma 75% szans na powodzenie.
"	"{Zniszczenie okrêtu}
{Poziom eksperta}

Nieodwracalnie niiszczy okrêt.
"	 ADV_SPELL
Wizja	Wizja	1	x	x	x	x	3	2	2	2	0	1	1	2	3	10	5	5	5	5	5	5	5	5	1	1	1	1	"{Wizja}

Ukazuje liczbê jednostek w grupie i informuje czy bêd¹ chcia³y siê przy³¹czyæ, walczyæ, czy uciec. Zasiêg to Moc, lub 3, zale¿nie od tego która wartoœæ jest wy¿sza.
"	"{Wizja}
{Poziom podstawowy}

Ukazuje liczbê jednostek w grupie i informuje czy bêd¹ chcia³y siê przy³¹czyæ, walczyæ, czy uciec. Zasiêg to Moc, lub 3, zale¿nie od tego która wartoœæ jest wy¿sza.
"	"{Wizja}
{Poziom zaawansowany}

Ukazuje liczbê jednostek w grupie i informuje czy bêd¹ chcia³y siê przy³¹czyæ, walczyæ, czy uciec. Dodatkowo ukazuje wspó³czynniki i sk³ad armii wrogich bohaterów. Zasiêg to (Moc x 2), lub 3, zale¿nie od tego która wartoœæ jest wy¿sza.
"	"{Wizja}
{Poziom eksperta}

Ukazuje liczbê jednostek w grupie i informuje czy bêd¹ chcia³y siê przy³¹czyæ, walczyæ, czy uciec. Dodatkowo ukazuje wspó³czynniki i sk³ad armii wrogich bohaterów oraz informacje na temat zamków. Zasiêg to (Moc x 3).
"	 ADV_SPELL
Zasoby ziemi	Zasoby ziemi	1	x				2	1	1	1	0	0	0	0	0	5	5	5	5	10	5	5	5	5	1	1	1	1	"{Zasoby ziemi}

Ujawnia umiejscowienie wszystkich zasobów znajduj¹cych siê na mapie.
"	"{Zasoby ziemi}
{Poziom podstawowy}

Ujawnia umiejscowienie wszystkich zasobów znajduj¹cych siê na mapie.
"	"{Zasoby ziemi}
{Poziom zaawansowany}

Ujawnia umiejscowienie wszystkich zasobów oraz kopalñ znajduj¹cych siê na mapie.
"	"{Zasoby ziemi}
{Poziom eksperta}

Odkrywa ca³¹ mapê oraz ujawnia umiejscowienie wszystkich zasobów i kopalñ.
"	 ADV_SPELL
Ukrycie	Ukrycie	1	 	 	 	x	2	1	1	1	0	0	0	0	0	5	5	5	5	5	5	5	10	5	1	1	1	1	"{Ukrycie}

Wrogowie otrzymuj¹ fa³szywe informacje o bohaterze, który rzuci³ ten czar. Wszystkie jednostki wygl¹daj¹ jak najsilniejsze w grupie.
"	"{Ukrycie}
{Poziom podstawowy}

Wrogowie otrzymuj¹ fa³szywe informacje o bohaterze, który rzuci³ ten czar. Wszystkie jednostki wygl¹daj¹ jak najsilniejsze w grupie.
"	"{Ukrycie}
{Poziom zaawansowany}

Wrogowie otrzymuj¹ fa³szywe informacje o bohaterze, który rzuci³ ten czar. Wszystkie jednostki wygl¹daj¹ jak najsilniejsze w grupie i ich liczba wynosi 0.
"	"{Ukrycie}
{Poziom eksperta}

Wrogowie otrzymuj¹ fa³szywe informacje o bohaterze, który rzuci³ ten czar. Wszystkie jednostki wygl¹daj¹ jak najsilniejsze w najd³u¿ej posiadanym przez gracza mieœcie i ich liczba jest równa 0.
"	 ADV_SPELL
Aura artefaktów	Aura artefaktów	1				x	2	1	1	1	0	0	0	0	0	5	5	5	5	10	5	5	5	5	1	1	1	1	"{Aura artefaktów}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty.
"	"{Aura artefaktów}
{Poziom podstawowy}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty.
"	"{Aura artefaktów}
{Poziom zaawansowany}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty oraz wrodzy bohaterowie.
"	"{Aura artefaktów}
{Poziom eksperta}

Ujawnia miejsca na mapie, gdzie znajduj¹ siê artefakty oraz wrodzy bohaterowie i ich miasta.
"	 ADV_SPELL
