	Description		
Name	Basic	Advanced	Expert
Znajd. drogi	"{Znajdowanie drogi - poziom podstawowy}

Redukuje karê do poruszania siê po trudnym terenie obni¿aj¹c koszt ruchu o 25 punktów. Minimalny koszt ruchu wynosi 95 punktów."	"{Znajdowanie drogi - poziom zaawansowany}

Redukuje karê do poruszania siê po trudnym terenie obni¿aj¹c koszt ruchu o 50 punktów. Minimalny koszt ruchu wynosi 90 punktów."	"{Znajdowanie drogi - poziom mistrzowski}

Niweluje karê do poruszania siê po trudnym terenie obni¿aj¹c koszt ruchu o 75 punktów. Minimalny koszt ruchu wynosi 85 punktów."
£ucznictwo	"{£ucznictwo - poziom podstawowy}

Zwiêksza bazowe obra¿enia zadawane przez jednostki atakuj¹ce na odleg³oœæ o 20%. "	"{£ucznictwo - poziom zaawansowany}

Zwiêksza bazowe obra¿enia zadawane przez jednostki atakuj¹ce na odleg³oœæ o 35%."	"{£ucznictwo - poziom mistrzowski}

Zwiêksza bazowe obra¿enia zadawane przez jednostki atakuj¹ce na odleg³oœæ o 50%."
Logistyka	"{Logistyka - poziom podstawowy}

Powiêksza liczbê punktów ruchu bohatera na l¹dzie o 5%."	"{Logistyka - poziom zaawansowany}

Powiêksza liczbê punktów ruchu bohatera na l¹dzie o 10%."	"{Logistyka - poziom mistrzowski}

Powiêksza liczbê punktów ruchu bohatera na l¹dzie o 20%."
Zwiad	"{Zwiad - poziom podstawowy}

Zwiêksza pole widzenia bohatera o 1."	"{Zwiad - poziom zaawansowany}

Zwiêksza pole widzenia bohatera o 3."	"{Zwiad - poziom mistrzowski}

Zwiêksza pole widzenia bohatera o 5."
Dyplomacja	"{Dyplomacja - poziom podstawowy}

Pozwala negocjowaæ ze s³abszymi oddzia³ami wroga ich przy³¹czenie siê do armii bohatera oraz zmniejsza koszty poddania siê o 20%."	"{Dyplomacja - poziom zaawansowany}

Pozwala negocjowaæ ze s³abszymi oddzia³ami wroga ich przy³¹czenie siê do armii bohatera oraz zmniejsza koszty poddania siê o 40%."	"{Dyplomacja - poziom mistrzowski}

Pozwala negocjowaæ ze s³abszymi oddzia³ami wroga ich przy³¹czenie siê do armii bohatera oraz zmniejsza koszty poddania siê o 60%."
Nawigacja	"{Nawigacja - poziom podstawowy}

Zwiêksza liczbê punktów ruchu bohatera na morzu o 50%."	"{Nawigacja - poziom zaawansowany}

Zwiêksza liczbê punktów ruchu bohatera na morzu o 75%."	"{Nawigacja - poziom mistrzowski}

Podwaja liczbê punktów ruchu bohatera na morzu."
Dowodzenie	"{Dowodzenie - poziom podstawowy}

Zwiêksza morale wszystkich oddzia³ów o 1."	"{Dowodzenie - poziom zaawansowany}

Zwiêksza morale wszystkich oddzia³ów o 2."	"{Dowodzenie - poziom mistrzowski}

Zwiêksza morale wszystkich oddzia³ów o 3."
M¹droœæ	"{M¹droœæ - poziom podstawowy}

Pozwala bohaterowi na zrozumienie i poznanie zaklêæ trzeciego poziomu."	"{M¹droœæ - poziom zaawansowany}

Pozwala bohaterowi na zrozumienie i poznanie zaklêæ czwartego poziomu."	"{M¹droœæ - poziom mistrzowski}

Pozwala bohaterowi na zrozumienie i poznanie zaklêæ pi¹tego poziomu."
Mistycyzm	"{Mistycyzm - poziom podstawowy}

Regeneruje 10% maksymalnej liczby puntów magii dziennie. Przywraca minimum 5 punktów."	"{Mistycyzm - poziom zaawansowany}

Regeneruje 20% maksymalnej liczby puntów magii dziennie. Przywraca minimum 10 punktów."	"{Mistycyzm - poziom mistrzowski}

Regeneruje 30% maksymalnej liczby puntów magii dziennie. Przywraca minimum 15 punktów."
